Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2020-05-19 00:00:00-04:00,58.096870978182956,59.20053071706054,57.777393345861576,57.91292953491211,867400,0,0,0,ARKK
2020-05-20 00:00:00-04:00,59.06499225252166,59.91693878,58.04846711716125,59.84917068481445,1101300,0,0,0,ARKK
2020-05-21 00:00:00-04:00,59.84916744260334,60.35259019609025,58.58092914,60.004066467285156,839000,0,0,0,ARKK
2020-05-22 00:00:00-04:00,59.9847059,60.797926730711346,59.53937164591852,60.75920104980469,683900,0,0,0,ARKK
2020-05-26 00:00:00-04:00,62.830980790658536,62.830980790658536,60.778564015390444,60.89474105834961,1448800,0,0,0,ARKK
2020-05-27 00:00:00-04:00,61.49497306504254,61.49497306504254,57.74835029484529,60.51716995239258,1074500,0,0,0,ARKK
2020-05-28 00:00:00-04:00,60.730155751848855,61.24325807370233,59.52968924542109,59.78139877319336,832500,0,0,0,ARKK
2020-05-29 00:00:00-04:00,59.96534096032584,60.99154930997215,59.32638202003997,60.81728744506836,599600,0,0,0,ARKK
2020-06-01 00:00:00-04:00,61.34007406384313,63.09236862239743,60.92378223441016,62.734169006347656,1557600,0,0,0,ARKK
2020-06-02 00:00:00-04:00,63.121409953607966,63.54738504232829,61.96935237864693,63.50865936279297,1370400,0,0,0,ARKK
2020-06-03 00:00:00-04:00,64.30251532164517,64.59295421601443,63.56674959193407,63.77005386352539,1529700,0,0,0,ARKK
2020-06-04 00:00:00-04:00,63.70228637436144,64.17085009835648,61.43688218093172,61.91126251220703,1243000,0,0,0,ARKK
2020-06-05 00:00:00-04:00,63.266628625732935,63.55997029,61.96935161504195,62.201698303222656,846200,0,0,0,ARKK
2020-06-08 00:00:00-04:00,62.91810522354069,63.28599548339844,62.46308772,63.28599548339844,968100,0,0,0,ARKK
2020-06-09 00:00:00-04:00,62.540541748210565,64.47678147655249,62.36627987721305,63.51834487915039,1750400,0,0,0,ARKK
2020-06-10 00:00:00-04:00,64.51550134949177,64.90275073753195,63.54738157247519,64.38964844,1272000,0,0,0,ARKK
2020-06-11 00:00:00-04:00,61.89190305183039,62.41468866347088,59.539371492532375,59.607139587402344,1822100,0,0,0,ARKK
2020-06-12 00:00:00-04:00,61.688597194700904,61.80477054107599,58.67871149880576,60.43003845214844,1185900,0,0,0,ARKK
2020-06-15 00:00:00-04:00,58.80360045075729,62.705118514114396,58.80360045075729,62.57926559448242,1619300,0,0,0,ARKK
2020-06-16 00:00:00-04:00,64.62200389832417,64.89307629094212,62.38564927305728,64.56391906738281,2166800,0,0,0,ARKK
2020-06-17 00:00:00-04:00,65.06733861873346,65.43522152751403,64.10890197,64.37997436523438,862700,0,0,0,ARKK
